,000,001,010,011,012,021,100,101,102,110,120,201,210
000,0,1,1,1,2,2,1,1,2,1,2,2,2
001,1,0,2,2,1,3,2,2,1,2,3,3,3
010,1,2,0,2,3,1,2,2,3,2,1,3,3
011,1,2,2,0,1,1,2,2,3,2,3,3,3
012,2,1,3,1,0,2,3,3,2,3,4,4,4
021,2,3,1,1,2,0,3,3,4,3,2,4,4
100,1,2,2,2,3,3,0,2,3,2,3,1,1
101,1,2,2,2,3,3,2,0,1,2,3,1,3
102,2,1,3,3,2,4,3,1,0,3,4,2,4
110,1,2,2,2,3,3,2,2,3,0,1,3,1
120,2,3,1,3,4,2,3,3,4,1,0,4,2
201,2,3,3,3,4,4,1,1,2,3,4,0,2
210,2,3,3,3,4,4,1,3,4,1,2,2,0
