,000,001,010,011,012,021,100,101,102,110,120,201,210
000,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
001,2.0,0.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0
010,2.0,3.0,0.0,2.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0
011,2.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
012,2.0,1.0,3.0,1.0,0.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0
021,2.0,3.0,1.0,1.0,2.0,0.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
100,2.0,3.0,3.0,4.0,4.0,4.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0
101,2.0,2.0,4.0,3.0,3.0,4.0,2.0,0.0,1.0,3.0,4.0,1.0,3.0
102,2.0,1.0,4.0,3.0,2.0,4.0,3.0,1.0,0.0,4.0,4.0,2.0,4.0
110,2.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,0.0,1.0,3.0,1.0
120,2.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,0.0,4.0,2.0
201,2.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,0.0,2.0
210,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,0.0
